dpCO2 trend smalls shelf mean,dpCO2 trend small shelf std,dpCO2 trend small shelf_n,dpCO2 trend wide shelf mean,dpCO2 trend wide shelf std,dpCO2 trend wide shelf_n,region,total across-shelf,total across-shelf SD,total across-shelf_n,EksAbsolute,EksAbsoluteStd,EksAbsolute_n,GeoAbsolute,GeoAbsoluteStd,GeoAbsolute_n,StokesAbsolute,StokesAbsoluteStd,StokesAbsolute_n,proportionEks,proportionEksSD,proportionEks_n,proportionGeo,proportionGeoSD,proportionGeo_n,proportionStokes,proportionStokesSD,proportionStokes_n,percentEks,percentEksSD,percetnEks_n,percentGeo,percentGeoSD,percentGeo_n,percentStokes,percentStokesSD,percentStokes_n,k,kSD,k_n,sst,sstSD,sst_n,eks_trend,eks_trend_std,eks_trend_n,geo_trend,geo_trend_std,geo_trend_n,stokes_trend,stokes_trend_std,stokes_trend_n
1.86,1.55,169,1.81,1.37,186,North Sea (Oct-Dec),0.159874955,0.083834938,74,0.030571587,0.022935219,74,0.126824105,0.068148205,74,0.002479263,0.002401413,74,0.223192445,0.059164372,74,0.762024759,0.062616951,74,0.014782796,0.01222868,74,9.765383512,28.71782374,74,88.98724731,29.72912634,74,1.247369178,1.521733986,74,30.03002947,2.206354464,74,9.396605349,0.439863428,74,0.001215104,0.001148791,74,0.001164327,0.001424659,74,4.38E-06,0.000176836,74
0,0.43,86,-0.03,0.39,89,English Channel (Oct-Dec),-0.021772925,0.013681553,50,-0.013136646,0.00505134,50,-0.013412625,0.008751101,50,0.004776345,0.003460169,50,0.430429848,0.177188422,50,0.393854917,0.159689464,50,0.175715234,0.151512928,50,73.70187423,94.56003329,50,85.12578465,344.6357232,50,-58.82765888,415.1590976,50,24.97752126,1.405971258,50,13.86552923,0.249506755,50,-0.000306344,0.000147153,50,0.000395865,0.000413321,50,0.000238152,0.000308105,50
1.93,3.11,76,1.92,3.19,78,Mid Atlantic Bight (Oct-Dec),-0.021108951,0.157752215,60,-0.021320794,0.012246526,60,3.30E-05,0.161554547,60,0.000178835,0.000272482,60,0.218448655,0.163276683,60,0.778163283,0.16781727,60,0.003388063,0.008775905,60,-7.806504045,252.1259993,60,107.8104139,252.0062707,60,-0.003909871,1.278792699,60,19.32698507,1.386466622,60,17.45362283,3.494161396,60,0.000511277,0.000287538,60,-0.001626108,0.001834138,60,7.09E-06,6.37E-05,60
0.77,0.69,56,0.22,0.7,175,Coast of Japan (Oct-Dec),0.029092682,0.130825414,312,0.003826836,0.041816477,312,0.025067825,0.128910034,312,0.000198021,0.002313475,312,0.344100619,0.265335879,312,0.641264596,0.268620838,312,0.014634784,0.023882477,312,62.49445107,786.820614,312,37.86728251,787.0636784,312,-0.361733587,7.441245,312,15.61167589,4.847581417,314,17.00042822,5.262303837,376,0.000153662,0.000553719,301,9.86E-05,0.003000557,301,-1.14E-05,0.000177038,301
-0.2,0.38,27,-0.11,0.35,33,Patagonian Shelf (Apr-Jun),-0.243717581,0.222399665,25,0.01900663,0.024054408,25,-0.257663102,0.199219877,25,-0.005061108,0.004411145,25,0.073850253,0.087577853,25,0.90346064,0.088021814,25,0.022689107,0.016628978,25,-3.547203197,13.76320546,25,101.0130765,13.71714747,25,2.53412674,1.985754329,25,27.45910466,3.789856527,26,7.541593833,0.220747163,26,0.000769766,0.000217472,25,-0.000719134,0.0013871,25,0.000345379,0.000182066,25
-1.11,0.74,24,-1.44,0.94,43,Bering Sea (Oct-Dec),0.038171519,0.081155661,96,0.001557032,0.017471657,96,0.036749703,0.086380933,96,-0.000135216,0.002945836,96,0.226029084,0.168540828,96,0.739473842,0.190408437,96,0.034497074,0.029274424,96,-24.56557938,895.5190959,96,116.8463208,912.1307424,96,7.719258562,56.39578812,96,28.29491943,3.378103655,96,6.282531665,0.542593937,96,-0.000716523,0.001026009,96,-0.000158821,0.001315316,96,2.42E-05,0.000202534,96
2.28,1.24,22,1.57,0.95,50,Antarctic Peninsula (Apr-Jun),-0.001918981,0.037375345,80,-0.013742223,0.007158748,80,0.015166594,0.038788558,80,-0.003343351,0.003012425,80,0.339588539,0.159352599,80,0.570910118,0.208582161,80,0.089501343,0.097309362,80,40.95937506,612.1175145,80,28.15911023,859.7976514,80,30.8815147,254.4733926,80,21.92831733,2.727180075,80,-0.288610586,0.178605011,80,-0.00015742,0.001169902,80,-0.000284964,0.000641613,80,8.38E-05,0.000415318,80
0.68,0.61,104,0.71,0.67,115,Labrador Sea (Oct-Dec),0.011471765,0.144483271,130,-0.018295794,0.013423918,130,0.032451826,0.153316574,130,-0.002684267,0.003629934,130,0.214142785,0.18626898,130,0.747404083,0.190023619,130,0.038453131,0.030622207,130,-12.37280655,383.7357681,130,114.8206611,416.2116735,130,-2.447854593,34.41129027,130,25.97781907,6.733882716,130,1.810467592,0.693993766,130,0.000648116,0.00096913,130,0.001343825,0.001496337,130,-3.65E-07,0.000249977,130
0.11,0.12,16,0.15,0.18,25,Tasmanian Shelf (Apr-Jun),0.054250515,0.115244295,65,0.012504881,0.035061072,65,0.038447039,0.080483959,65,0.003298596,0.007060424,65,0.344630236,0.260009641,65,0.600886408,0.24520306,65,0.054483356,0.050629193,65,38.69220327,39.06828296,65,57.40116452,34.15400585,65,3.90663221,10.0731464,65,21.36473095,5.475995459,65,15.17871666,0.822898269,70,-0.000213106,0.000350438,65,0.000921239,0.001339914,65,-0.000234644,0.000269032,65
0.38,0.52,10,0.31,0.41,42,Barents Sea (Oct-Dec),0.268783053,0.090001121,22,0.021399088,0.005064178,22,0.243125771,0.085191687,22,0.004258193,0.001029665,22,0.084130247,0.01576131,22,0.898453897,0.019777985,22,0.017415856,0.006145168,22,8.413024664,1.576130963,22,89.84538973,1.977798498,22,1.741585602,0.614516806,22,21.01206344,1.618611469,22,7.91486766,0.142749182,22,0.000927148,7.92E-05,22,0.002765233,0.000729664,22,8.38E-05,0.000165536,22
