dpCO2 trend smalls shelf mean,dpCO2 trend small shelf std,dpCO2 trend small shelf_n,dpCO2 trend wide shelf mean,dpCO2 trend wide shelf std,dpCO2 trend wide shelf_n,region,total across-shelf,total across-shelf SD,total across-shelf_n,EksAbsolute,EksAbsoluteStd,EksAbsolute_n,GeoAbsolute,GeoAbsoluteStd,GeoAbsolute_n,StokesAbsolute,StokesAbsoluteStd,StokesAbsolute_n,proportionEks,proportionEksSD,proportionEks_n,proportionGeo,proportionGeoSD,proportionGeo_n,proportionStokes,proportionStokesSD,proportionStokes_n,percentEks,percentEksSD,percetnEks_n,percentGeo,percentGeoSD,percentGeo_n,percentStokes,percentStokesSD,percentStokes_n,k,kSD,k_n,sst,sstSD,sst_n,eks_trend,eks_trend_std,eks_trend_n,geo_trend,geo_trend_std,geo_trend_n,stokes_trend,stokes_trend_std,stokes_trend_n
1.86,1.55,169,1.81,1.37,186,North Sea (Apr-Jun),0.115013279,0.070328514,74,0.001551351,0.003228336,74,0.111209468,0.067967186,74,0.002252459,0.002245588,74,0.026973399,0.046833243,74,0.954382628,0.054990135,74,0.018643973,0.017477989,74,1.812689817,5.355961395,74,96.42597277,5.805056986,74,1.761337408,1.868614818,74,21.10611119,1.930433342,74,9.043584536,0.41389408,74,0.000716175,0.000656649,74,-0.000167606,0.00171344,74,0.000246657,0.000359376,74
0,0.43,86,-0.03,0.39,89,English Channel (Apr-Jun),0.016859458,0.013128179,50,0.006221462,0.003218749,50,0.007797166,0.014502424,50,0.00284083,0.001626179,50,0.273703141,0.150749349,50,0.591885128,0.175023599,50,0.134411732,0.106610343,50,54.84058202,261.5231996,50,34.29973692,305.101927,50,10.85968107,60.26767137,50,18.53378083,1.857799217,50,12.92504225,0.33854985,50,-0.000309877,5.71E-05,50,0.000253587,0.000584885,50,0.000136649,0.000151484,50
1.93,3.11,76,1.92,3.19,78,Mid Atlantic Bight (Apr-Jun),-0.034741475,0.196695518,60,-0.022074828,0.007407384,60,-0.012455365,0.190523093,60,-0.000211282,0.000289952,60,0.198413878,0.133581061,60,0.79774751,0.138724097,60,0.003838612,0.007854944,60,-14.85095762,52.84027142,60,114.9862527,54.85007921,60,-0.135295111,2.522091389,60,18.18299103,1.639427537,60,15.55316031,4.552339773,60,-0.000295081,0.000220719,60,-0.000709669,0.00178595,60,2.26E-05,4.49E-05,60
0.77,0.69,56,0.22,0.7,175,Coast of Japan (Apr-Jun),0.010769329,0.127039307,312,-5.34E-05,0.01756323,312,0.010797528,0.123106871,312,2.52E-05,0.000138043,312,0.237750299,0.216140477,312,0.761219432,0.215728897,312,0.001030269,0.007833952,312,-29.78731819,265.1615739,312,129.6875963,265.1765378,312,0.099721881,0.835084143,312,12.08659027,3.75259216,314,14.4194407,5.937927362,376,6.72E-05,0.000373855,301,-0.000396615,0.002487901,301,-2.18E-06,1.45E-05,301
-0.2,0.38,27,-0.11,0.35,33,Patagonian Shelf (Oct-Dec),-0.239907707,0.232688425,25,0.024566428,0.034104628,25,-0.261121771,0.197217534,25,-0.003352364,0.005006472,25,0.107151917,0.111611494,25,0.879203852,0.113070279,25,0.013644232,0.010739443,25,-6.187322552,19.26621798,25,104.5823156,19.27022199,25,1.60500692,1.23903138,25,31.67841255,4.629839608,26,6.708929921,0.419395735,26,-0.000362475,0.000301664,25,-0.000102254,0.001065228,25,0.000278904,0.000327447,25
-1.11,0.74,24,-1.44,0.94,43,Bering Sea (Apr-Jun),0.023913321,0.071190096,96,-0.000541317,0.007973707,96,0.025052624,0.071686412,96,-0.000597986,0.000742826,96,0.164514545,0.179631226,96,0.817235937,0.189279668,96,0.018249518,0.022057345,96,-43.39835904,379.1136731,96,145.7911325,406.706191,96,-2.392773458,28.36290689,96,20.92954014,2.707087889,96,4.864107189,0.365414876,96,0.000428876,0.000662416,96,0.000518309,0.001256291,96,1.96E-05,9.90E-05,96
2.28,1.24,22,1.57,0.95,50,Antarctic Peninsula (Oct-Dec),0.003671029,0.041223048,80,-0.018670927,0.003045536,80,0.025437718,0.041861574,80,-0.003095763,0.002312187,80,0.421286285,0.204501493,80,0.510212326,0.23941602,80,0.068501389,0.067754731,80,12.94662749,178.8763404,80,83.05073355,195.5890576,80,4.002638958,22.42652795,80,20.7539663,2.879580093,80,-0.891650924,0.184067693,80,0.000702371,0.000642572,74,-0.0001393,0.000690457,74,0.000216998,0.000168195,74
0.68,0.61,104,0.71,0.67,115,Labrador Sea (Apr-Jun),0.006537648,0.115267014,130,-0.015263503,0.008255163,130,0.023375508,0.123161499,130,-0.001574357,0.001054812,130,0.225189687,0.162924371,130,0.752678993,0.180522989,130,0.02213132,0.022280119,130,-12.26371067,142.6279767,130,112.6210774,160.5193688,130,-0.357366748,19.173727,130,16.32475008,4.317260338,130,0.572082547,0.825025236,130,-0.000210216,0.000970833,115,0.001580414,0.001233421,115,0.000157001,0.000243411,115
0.11,0.12,16,0.15,0.18,25,Tasmanian Shelf (Oct-Dec),0.01085954,0.070234092,65,0.008671587,0.030138226,65,0.000480378,0.039193825,65,0.001707575,0.007221877,65,0.502478679,0.271043237,65,0.409201546,0.266255268,65,0.088319775,0.09732285,65,47.14070412,54.13723639,65,39.70805488,53.96211922,65,13.151241,38.36025068,65,22.02103467,4.406165892,65,14.0839895,0.808789014,70,-6.96E-05,0.000524558,65,-1.66E-05,0.001319765,65,-5.16E-05,0.00026838,65
0.38,0.52,10,0.31,0.41,42,Barents Sea (Apr-Jun),0.161655748,0.069791972,22,-0.004797126,0.002060848,22,0.164452347,0.067955702,22,0.002000527,0.000601079,22,0.04343596,0.046577892,22,0.942894788,0.050570357,22,0.013669252,0.006302189,22,-5.480495646,7.134318588,22,103.9154645,6.532150952,22,1.565031132,0.868278115,22,14.60973881,1.324432405,22,6.943713901,0.227591628,22,0.000581601,0.000126574,22,0.000521813,0.000806173,22,0.00035792,0.000101194,22
