dpCO2 trend smalls shelf mean,dpCO2 trend small shelf std,dpCO2 trend small shelf_n,dpCO2 trend wide shelf mean,dpCO2 trend wide shelf std,dpCO2 trend wide shelf_n,region,total across-shelf,total across-shelf SD,total across-shelf_n,EksAbsolute,EksAbsoluteStd,EksAbsolute_n,GeoAbsolute,GeoAbsoluteStd,GeoAbsolute_n,StokesAbsolute,StokesAbsoluteStd,StokesAbsolute_n,proportionEks,proportionEksSD,proportionEks_n,proportionGeo,proportionGeoSD,proportionGeo_n,proportionStokes,proportionStokesSD,proportionStokes_n,percentEks,percentEksSD,percetnEks_n,percentGeo,percentGeoSD,percentGeo_n,percentStokes,percentStokesSD,percentStokes_n,k,kSD,k_n,sst,sstSD,sst_n,eks_trend,eks_trend_std,eks_trend_n,geo_trend,geo_trend_std,geo_trend_n,stokes_trend,stokes_trend_std,stokes_trend_n
1.86,1.55,169,1.81,1.37,186,North Sea (Jul-Sep),0.109428298,0.067033039,74,0.011301651,0.010283871,74,0.095802985,0.062606598,74,0.002323662,0.003434098,74,0.140438744,0.076545944,74,0.82169887,0.101142002,74,0.037862386,0.028702232,74,7.512022917,30.52177721,74,91.10626893,40.42350677,74,1.381708148,10.60007582,74,14.47965031,0.779375141,74,12.13333249,0.658323659,74,-0.000150764,0.000319741,74,-0.000847646,0.001665676,74,0.000112551,0.000265319,74
0,0.43,86,-0.03,0.39,89,English Channel (Jul-Sep),0.016021916,0.010851067,50,0.009557086,0.003251479,50,0.003624744,0.009301665,50,0.002840086,0.00171501,50,0.478905046,0.136055283,50,0.379539895,0.166019194,50,0.141555059,0.081425686,50,63.67210408,121.9753978,50,14.76126395,151.475671,50,21.56663196,41.02245946,50,14.03998526,2.025602,50,16.8207957,0.482604977,50,-0.00035299,0.00015086,50,-5.84E-05,0.000419639,50,0.000134967,0.000140191,50
1.93,3.11,76,1.92,3.19,78,Mid Atlantic Bight (Jul-Sep),-0.041725502,0.191043165,60,-0.01174388,0.004573,60,-0.030249407,0.18866905,60,0.000267785,0.000459,60,0.158116358,0.150608334,60,0.838494895,0.151563724,60,0.003388747,0.005972327,60,1.990839114,145.0611824,60,97.68981517,145.1265115,60,0.319345719,1.085465455,60,13.14527425,1.839532183,60,24.20571077,2.142578368,60,-0.000319834,9.31E-05,60,-0.003434032,0.003275088,60,-6.34E-05,7.11E-05,60
0.77,0.69,56,0.22,0.7,175,Coast of Japan (Jul-Sep),0.022768222,0.134286813,312,-0.002701487,0.012903689,312,0.025397063,0.133146871,312,7.26E-05,0.000365681,312,0.166320516,0.187064001,312,0.83232602,0.188551027,312,0.001353464,0.007903659,312,-10.36764243,116.1768946,312,110.2547385,116.09128,312,0.112903943,1.200621096,312,10.01476476,3.484233249,314,22.88503656,4.027334411,376,-0.000134256,0.000270402,301,-0.000510317,0.003317028,301,-6.90E-06,3.78E-05,301
-0.2,0.38,27,-0.11,0.35,33,Patagonian Shelf (Jan-Mar),-0.230634899,0.22453501,25,0.020698605,0.031928525,25,-0.248988225,0.192061804,25,-0.00234528,0.003453353,25,0.100289428,0.1055709,25,0.887456456,0.109569412,25,0.012254116,0.008596303,25,-4.870529092,17.5430923,25,103.3605077,17.15306028,25,1.510021386,1.289829447,25,26.38877635,5.477138986,26,8.498528423,0.481808365,26,1.18E-07,0.000213786,25,0.001103832,0.001438817,25,-4.39E-06,0.00014108,25
-1.11,0.74,24,-1.44,0.94,43,Bering Sea (Jul-Sep),0.018493518,0.074003127,96,-0.008327684,0.023024719,96,0.027709451,0.068929032,96,-0.00088825,0.001888268,96,0.305471199,0.192975104,96,0.66618823,0.202965013,96,0.028340571,0.017354773,96,32.51401021,382.3416531,96,64.3320275,420.3993459,96,3.153962294,38.51918084,96,12.86324495,1.418186756,96,9.085891893,0.867194187,96,2.54E-05,0.000150017,96,4.74E-05,0.000998455,96,-7.04E-05,0.00016696,96
2.28,1.24,22,1.57,0.95,50,Antarctic Peninsula (Jan-Mar),0.000822172,0.038120508,80,-0.017869154,0.006574246,80,0.024226637,0.041227907,80,-0.005535312,0.002913398,80,0.369228931,0.177818142,80,0.512994841,0.245089894,80,0.117776229,0.092183376,80,21.20610746,233.4376013,80,68.44706302,303.3967724,80,10.34682952,72.44081637,80,16.12834142,1.860082882,80,1.438230686,0.125280525,80,0.000262501,8.09E-05,80,-0.000168036,0.000596542,80,-3.67E-05,0.000234747,80
0.68,0.61,104,0.71,0.67,115,Labrador Sea (Jul-Sep),-0.00290539,0.117458614,130,-0.025028994,0.015560257,130,0.022979318,0.130851648,130,-0.000855714,0.001096976,130,0.386474201,0.24572959,130,0.606356975,0.247334278,130,0.007168824,0.007517971,130,311.1956805,3113.152693,130,-211.0765004,3113.250832,130,-0.119180118,2.671282365,130,13.84569032,2.745521983,130,4.06521689,0.705716095,130,-0.000182394,0.000214884,130,0.000167991,0.00114766,130,1.48E-05,0.000260046,130
0.11,0.12,16,0.15,0.18,25,Tasmanian Shelf (Jan-Mar),0.004104028,0.048192499,65,0.001891408,0.018684399,65,0.001673072,0.028282835,65,0.000539548,0.008501726,65,0.350909334,0.18623419,65,0.511018751,0.237543684,65,0.138071915,0.133022953,65,139.2033158,492.6579465,65,-83.91595232,632.1417561,65,44.71263653,153.9644528,65,17.09569138,3.186990565,65,16.98703199,1.081460808,70,7.64E-05,0.000306025,65,0.000499505,0.001273452,65,-7.83E-05,0.000393664,65
0.38,0.52,10,0.31,0.41,42,Barents Sea (Jul-Sep),0.170480136,0.065238028,22,0.003704912,0.001223456,22,0.164814236,0.064320849,22,0.001960988,0.000784864,22,0.024478996,0.009534065,22,0.96221229,0.015062804,22,0.013308714,0.007247843,22,2.431680095,0.994051001,22,96.23727624,1.534869812,22,1.331043665,0.724720359,22,11.75452359,1.033933306,22,10.8186471,0.332171137,22,-0.000855639,0.000150773,22,-0.000222883,0.001201072,22,5.20E-05,5.51E-05,22
0.51,0.74,18,0.7,0.7,26,South Atlantic Bight (Jul-Sep),-0.478815853,0.594227294,49,0.007611605,0.021933333,49,-0.486837855,0.57793385,49,0.000410397,0.000388061,49,0.116194011,0.178321704,49,0.882729468,0.178305366,49,0.001076521,0.002266694,49,12.2377143,22.97835388,49,87.72290025,23.00428484,49,0.039385448,0.247849954,49,9.729693024,3.06561506,49,29.14204866,0.403518918,51,-0.000301529,0.000151124,49,-0.00109281,0.002378522,49,-1.35E-05,2.27E-05,49
1.95,1.22,20,1.73,0.8,29,Southern Greenland  (Jul-Sep),-0.278406074,0.091350576,37,0.002228579,0.007935831,37,-0.278907141,0.088004127,37,-0.001727512,0.000927203,37,0.026897939,0.036103223,37,0.966612442,0.035173226,37,0.006489619,0.003689492,37,-1.855240572,5.913105267,37,101.227026,6.137938128,37,0.628214527,0.441655271,37,15.91348417,1.244796437,37,3.385272079,0.275798863,37,-0.000247008,0.000129268,37,0.00079032,0.000950416,37,0.000259103,0.000120669,37
0.83,1.72,27,0.97,1.23,49,Cascadian Shelf  (Jul-Sep),0.062734167,0.069069822,67,0.036559662,0.012301111,67,0.023480515,0.063729583,67,0.00269399,0.001749642,67,0.506552816,0.201382944,67,0.457502165,0.213489463,67,0.035945019,0.020888582,67,44.83038635,475.2715747,67,53.29741124,513.5543845,67,1.872202402,40.52524013,67,14.17850989,3.548325925,67,14.49832818,1.106951308,67,9.25E-05,0.000276549,67,6.15E-05,0.001161743,67,-7.92E-05,0.00012803,67
0.56,0.23,26,0.47,0.35,35,Irminger Sea  (Jul-Sep),-0.009234153,0.018819031,19,-0.001455399,0.001617907,19,-0.006063867,0.019098156,19,-0.001714886,0.001205872,19,0.148675476,0.115305663,19,0.750302447,0.163092071,19,0.101022078,0.072043441,19,39.92733372,123.5552472,19,37.04272957,166.7690544,19,23.02993671,48.49591569,19,16.25262257,0.566879126,19,10.51044369,0.292125697,19,0.000259181,0.000335584,19,-0.000739805,0.000412032,19,-0.000158829,0.000135218,19
