dpCO2 trend smalls shelf mean,dpCO2 trend small shelf std,dpCO2 trend small shelf_n,dpCO2 trend wide shelf mean,dpCO2 trend wide shelf std,dpCO2 trend wide shelf_n,region,total across-shelf,total across-shelf SD,total across-shelf_n,EksAbsolute,EksAbsoluteStd,EksAbsolute_n,GeoAbsolute,GeoAbsoluteStd,GeoAbsolute_n,StokesAbsolute,StokesAbsoluteStd,StokesAbsolute_n,proportionEks,proportionEksSD,proportionEks_n,proportionGeo,proportionGeoSD,proportionGeo_n,proportionStokes,proportionStokesSD,proportionStokes_n,percentEks,percentEksSD,percetnEks_n,percentGeo,percentGeoSD,percentGeo_n,percentStokes,percentStokesSD,percentStokes_n,k,kSD,k_n,sst,sstSD,sst_n,eks_trend,eks_trend_std,eks_trend_n,geo_trend,geo_trend_std,geo_trend_n,stokes_trend,stokes_trend_std,stokes_trend_n
1.86,1.55,169,1.81,1.37,186,North Sea (Jan-Mar),0.178953412,0.100828047,74,0.036695933,0.02994257,74,0.138521973,0.0802739,74,0.003735507,0.00476855,74,0.253329799,0.075203661,74,0.717565103,0.088103604,74,0.029105099,0.019865505,74,16.67991929,50.66116439,74,81.37805994,57.96823388,74,1.942020766,7.524816548,74,34.58856088,2.696073731,74,8.008476674,0.503431914,74,-0.000294254,0.000486873,74,-0.000488105,0.001061996,74,-0.000342939,0.000433591,74
0,0.43,86,-0.03,0.39,89,English Channel (Jan-Mar),-0.016343907,0.010536717,50,-0.012908375,0.003995513,50,-0.00494604,0.012358986,50,0.001510508,0.000718201,50,0.594616446,0.210322136,50,0.341154261,0.210415724,50,0.064229292,0.027781373,50,141.5824349,161.9916856,50,-25.11681103,140.3328062,50,-16.46562387,22.58146706,50,28.621444,2.062346359,50,11.50660657,0.182611397,50,0.000734429,0.000231879,50,0.00088938,0.000489693,50,-6.06E-05,0.000150462,50
1.93,3.11,76,1.92,3.19,78,Mid Atlantic Bight (Jan-Mar),-0.04479968,0.168017936,60,-0.034576065,0.014346399,60,-0.010189923,0.164399205,60,-3.37E-05,0.000436926,60,0.292202511,0.169150745,60,0.704143519,0.170255018,60,0.00365397,0.005722389,60,-278.9511514,2140.777811,60,377.5897739,2122.2949,60,1.361377488,18.73195581,60,22.83010346,3.901320487,60,11.70587255,4.87194561,60,-0.000627802,0.000403519,60,-0.001134943,0.002332714,60,6.67E-05,0.000101816,60
0.77,0.69,56,0.22,0.7,175,Coast of Japan (Jan-Mar),0.014918222,0.126731915,312,-0.000513746,0.049250535,312,0.015249344,0.110405184,312,0.000182624,0.001828182,312,0.368276264,0.278704526,312,0.621952023,0.281414069,312,0.009771714,0.022482489,312,29.98516453,192.7789447,312,70.25702713,193.4259514,312,-0.242191659,7.057248936,312,20.93180358,6.852474468,314,10.41048697,6.654148144,376,0.000113032,0.000616396,301,-0.000246482,0.002852907,301,8.53E-07,0.000109488,301
-0.2,0.38,27,-0.11,0.35,33,Patagonian Shelf (Jul-Sep),-0.230181037,0.208634139,25,0.024545207,0.024520829,25,-0.253337948,0.186105943,25,-0.001388295,0.002823139,25,0.097316171,0.099760249,25,0.892125586,0.104610718,25,0.010558242,0.011162766,25,-6.345945418,18.3154572,25,105.0587382,18.2670132,25,1.287207172,1.464285071,25,34.02126159,4.334717923,26,6.030841709,0.197367791,26,0.000231451,0.000221517,25,-6.29E-05,0.000961711,25,-4.74E-05,0.00010714,25
-1.11,0.74,24,-1.44,0.94,43,Bering Sea (Jan-Mar),0.04077507,0.088881834,96,0.006181161,0.01169922,96,0.035231711,0.096167637,96,-0.000637803,0.002501016,96,0.160566247,0.188586184,96,0.804837168,0.209755962,96,0.034596586,0.045994489,96,6.860417018,74.88379287,96,95.1471705,79.96578638,96,-2.007587521,15.8716011,96,24.77367949,2.813811255,96,3.672034789,0.309856763,96,0.000770913,0.000670379,96,0.000724335,0.001335182,96,5.38E-05,0.000252851,96
2.28,1.24,22,1.57,0.95,50,Antarctic Peninsula (Jul-Sep),-0.000877398,0.039651003,80,-0.020048776,0.004806138,80,0.021944124,0.040709186,80,-0.002772745,0.001687982,80,0.449498076,0.231664654,80,0.496537999,0.24936784,80,0.053963925,0.034857742,80,1.841727105,451.0810553,80,99.09392707,522.5087904,80,-0.935654172,72.61668875,80,21.35305724,1.986740539,80,-1.662653122,0.06631287,80,4.71E-05,0.000394392,44,0.000272762,0.001206838,44,0.000345686,0.000326349,44
0.68,0.61,104,0.71,0.67,115,Labrador Sea (Jan-Mar),0.002796167,0.141805197,130,-0.022288393,0.017881265,130,0.027910982,0.155907651,130,-0.002826422,0.002308718,130,0.200904929,0.161085215,130,0.771669031,0.18308668,130,0.02742604,0.025488274,130,-42.2400688,353.8212904,130,147.6006392,401.6964851,130,-5.360570452,48.04364156,130,33.91409589,11.82594826,130,-0.158468106,0.843193629,130,0.000532982,0.000325415,111,0.001202389,0.001317527,111,-0.000194668,0.000336551,111
0.11,0.12,16,0.15,0.18,25,Tasmanian Shelf (Jul-Sep),0.049362037,0.109495733,65,0.022509087,0.041971016,65,0.022684235,0.070577345,65,0.004168715,0.007897075,65,0.425627151,0.226180859,65,0.511968742,0.212622113,65,0.062404107,0.043840288,65,44.18580962,55.63503128,65,49.76552456,52.11560643,65,6.048665822,7.456552695,65,24.38293793,5.026055896,65,13.16515158,0.633350475,70,-8.65E-05,0.000429673,65,0.000523899,0.001291829,65,-0.000109102,0.000242454,65
0.38,0.52,10,0.31,0.41,42,Barents Sea (Jan-Mar),0.261059575,0.08080945,22,0.025684308,0.005370429,22,0.231434854,0.075156512,22,0.003940412,0.002255355,22,0.104448526,0.022896273,22,0.881231081,0.020969669,22,0.014320393,0.006670374,22,10.44485256,2.289627337,22,88.12310811,2.096966913,22,1.432039327,0.667037387,22,28.48181957,1.875950701,22,6.210305274,0.179282695,22,0.000136256,0.000188585,22,-0.00051897,0.001068177,22,9.08E-06,0.000206862,22
